model,held_out,epoch,train_rmse,test_rmse
mlp,4,23,0.06467,0.06096
mlp,4,24,0.06497,0.06753
mlp,4,25,0.06561,0.06181
mlp,4,26,0.06461,0.07181
mlp,4,27,0.06566,0.05897
mlp,4,28,0.06524,0.06566
mlp,4,29,0.06284,0.06173
mlp,4,30,0.0636,0.06026
mlp,4,31,0.06433,0.07465
mlp,4,32,0.06417,0.06521
mlp,4,33,0.06292,0.07348
mlp,4,34,0.06417,0.05952
mlp,4,35,0.06266,0.05866
mlp,4,36,0.06298,0.06185
mlp,4,37,0.06256,0.0613
mlp,4,38,0.06434,0.06221
mlp,4,39,0.06192,0.0591
gnn,4,0,0.24419,0.10053
gnn,4,1,0.0851,0.08701
gnn,4,2,0.07139,0.06712
gnn,4,3,0.06924,0.06155
gnn,4,4,0.06204,0.07588
gnn,4,5,0.06468,0.06311
gnn,4,6,0.06086,0.05891
gnn,4,7,0.05829,0.05785
gnn,4,8,0.05796,0.06057
gnn,4,9,0.06285,0.06444
gnn,4,10,0.05777,0.05306
gnn,4,11,0.05709,0.06134
gnn,4,12,0.06402,0.0682
gnn,4,13,0.06265,0.05725
gnn,4,14,0.05812,0.05906
gnn,4,15,0.05705,0.05757
gnn,4,16,0.05527,0.05784
gnn,4,17,0.05598,0.05563
gnn,4,18,0.05691,0.05796
gnn,4,19,0.05716,0.0542
gnn,4,20,0.05513,0.06315
gnn,4,21,0.05932,0.059
gnn,4,22,0.05369,0.06224
gnn,4,23,0.05591,0.06193
gnn,4,24,0.05548,0.05458
gnn,4,25,0.05316,0.05563
gnn,4,26,0.05337,0.05729
gnn,4,27,0.0544,0.05478
gnn,4,28,0.06015,0.06511
gnn,4,29,0.05473,0.05619
gnn,4,30,0.05573,0.05546
gnn,4,31,0.05413,0.0543
gnn,4,32,0.05463,0.05265
gnn,4,33,0.05799,0.08484
gnn,4,34,0.05856,0.05809
gnn,4,35,0.05319,0.05411
gnn,4,36,0.05369,0.05526
gnn,4,37,0.05439,0.05352
gnn,4,38,0.05551,0.06586
gnn,4,39,0.05739,0.05609
mlp,4,0,0.21844,0.08807
mlp,4,1,0.08423,0.09639
mlp,4,2,0.07922,0.07623
mlp,4,3,0.07899,0.0757
mlp,4,4,0.07357,0.07122
mlp,4,5,0.07247,0.06952
mlp,4,6,0.07045,0.06686
mlp,4,7,0.06792,0.06515
mlp,4,8,0.06709,0.06241
mlp,4,9,0.07249,0.07284
mlp,4,10,0.06874,0.06134
