city,ssp,epoch,n_seeds,mean_gap,ci_lo,ci_hi,sign
Manila,SSP5-8.5,2080,6,-0.00322,-0.03091,0.02535,zero-crossing
Manila,SSP5-8.5,2090,6,-0.00166,-0.03278,0.03631,zero-crossing
Manila,SSP5-8.5,2100,6,-0.00019,-0.01788,0.02409,zero-crossing
Wuhan,Control-NoCC,2030,6,-0.00917,-0.03398,0.00925,zero-crossing
Wuhan,Control-NoCC,2040,6,0.00851,-0.01547,0.02117,zero-crossing
Wuhan,Control-NoCC,2050,6,0.00484,-0.02038,0.02863,zero-crossing
Wuhan,Control-NoCC,2060,6,0.01084,-0.01881,0.02406,zero-crossing
Wuhan,Control-NoCC,2070,6,0.01014,-0.02278,0.03084,zero-crossing
Wuhan,Control-NoCC,2080,6,-0.00649,-0.02504,0.01619,zero-crossing
Wuhan,Control-NoCC,2090,6,0.00965,-0.01595,0.03277,zero-crossing
Wuhan,Control-NoCC,2100,6,0.0067,-0.00924,0.03074,zero-crossing
Wuhan,SSP1-2.6,2030,6,0.00335,-0.01392,0.02025,zero-crossing
Wuhan,SSP1-2.6,2040,6,-0.00153,-0.01448,0.01152,zero-crossing
Wuhan,SSP1-2.6,2050,6,0.00635,-0.00956,0.02891,zero-crossing
Wuhan,SSP1-2.6,2060,6,-0.00815,-0.0227,0.00465,zero-crossing
Wuhan,SSP1-2.6,2070,6,-0.00585,-0.0257,0.01167,zero-crossing
Wuhan,SSP1-2.6,2080,6,0.0026,-0.00946,0.02001,zero-crossing
Wuhan,SSP1-2.6,2090,6,0.00188,-0.01466,0.01547,zero-crossing
Wuhan,SSP1-2.6,2100,6,0.00535,-0.01321,0.0234,zero-crossing
Wuhan,SSP2-4.5,2030,6,0.01076,-0.00184,0.02225,zero-crossing
Wuhan,SSP2-4.5,2040,6,0.02173,0.00486,0.03768,positive
Wuhan,SSP2-4.5,2050,6,0.01907,0.00631,0.02959,positive
Wuhan,SSP2-4.5,2060,6,0.01068,-0.00103,0.03002,zero-crossing
Wuhan,SSP2-4.5,2070,6,0.0054,-0.00756,0.01551,zero-crossing
Wuhan,SSP2-4.5,2080,6,0.00881,-0.00398,0.02,zero-crossing
Wuhan,SSP2-4.5,2090,6,0.02099,0.00735,0.03029,positive
Wuhan,SSP2-4.5,2100,6,0.00844,-0.01818,0.03098,zero-crossing
Wuhan,SSP5-8.5,2030,6,0.00461,-0.01018,0.01709,zero-crossing
Wuhan,SSP5-8.5,2040,6,-0.01119,-0.02634,0.00408,zero-crossing
Wuhan,SSP5-8.5,2050,6,-0.00199,-0.02527,0.01698,zero-crossing
Wuhan,SSP5-8.5,2060,6,-9e-05,-0.00895,0.00758,zero-crossing
Wuhan,SSP5-8.5,2070,6,-0.00804,-0.01934,0.00224,zero-crossing
Wuhan,SSP5-8.5,2080,6,0.005,-0.0234,0.03497,zero-crossing
Wuhan,SSP5-8.5,2090,6,0.00212,-0.0194,0.0312,zero-crossing
Wuhan,SSP5-8.5,2100,6,0.00315,-0.01222,0.01681,zero-crossing
Tianjin,Control-NoCC,2030,6,-0.01717,-0.0261,-0.01087,negative
Tianjin,Control-NoCC,2040,6,-0.00484,-0.01859,0.01116,zero-crossing
Tianjin,Control-NoCC,2050,6,-0.00956,-0.04139,0.00242,zero-crossing
Tianjin,Control-NoCC,2060,6,-0.01161,-0.02722,0.00504,zero-crossing
Tianjin,Control-NoCC,2070,6,0.00587,-0.00241,0.01262,zero-crossing
Tianjin,Control-NoCC,2080,6,-0.01883,-0.03291,-0.00791,negative
Tianjin,Control-NoCC,2090,6,0.00162,-0.01031,0.0154,zero-crossing
Tianjin,Control-NoCC,2100,6,-0.00874,-0.02073,0.00095,zero-crossing
Tianjin,SSP1-2.6,2030,6,2e-05,-0.01186,0.00789,zero-crossing
Tianjin,SSP1-2.6,2040,6,0.00502,-0.0142,0.03232,zero-crossing
