city,country,archetype,lat,lon,gw_base_m,ssp,n_pairs,mean_gap,std_gap,ci_lo,ci_hi,sign
Melbourne,Australia,coastal,-37.8136,144.9631,7.0,SSP1-2.6,72,0.00165,0.09741,-0.02095,0.02341,zero-crossing
Melbourne,Australia,coastal,-37.8136,144.9631,7.0,SSP2-4.5,72,0.01211,0.09949,-0.01209,0.03546,zero-crossing
Melbourne,Australia,coastal,-37.8136,144.9631,7.0,SSP5-8.5,72,-0.00131,0.09465,-0.02278,0.02075,zero-crossing
Wuhan,China,lowland,30.5928,114.3055,3.5,Control-NoCC,72,-0.0095,0.0915,-0.0308,0.01166,zero-crossing
Wuhan,China,lowland,30.5928,114.3055,3.5,SSP1-2.6,72,0.00756,0.0882,-0.01232,0.0286,zero-crossing
Wuhan,China,lowland,30.5928,114.3055,3.5,SSP2-4.5,72,0.00292,0.09789,-0.0206,0.02484,zero-crossing
Wuhan,China,lowland,30.5928,114.3055,3.5,SSP5-8.5,72,0.0211,0.08872,0.00127,0.04152,positive
Guangzhou,China,deltaic,23.1291,113.2644,2.5,Control-NoCC,72,-0.00654,0.08145,-0.02513,0.01128,zero-crossing
Guangzhou,China,deltaic,23.1291,113.2644,2.5,SSP1-2.6,72,0.00344,0.08123,-0.01556,0.02168,zero-crossing
Guangzhou,China,deltaic,23.1291,113.2644,2.5,SSP2-4.5,72,0.01205,0.08023,-0.00726,0.02986,zero-crossing
Guangzhou,China,deltaic,23.1291,113.2644,2.5,SSP5-8.5,72,0.02261,0.06719,0.00724,0.03878,positive
Bushehr,Iran,coastal,28.9684,50.8385,4.5,Control-NoCC,72,-0.00261,0.10982,-0.02922,0.02086,zero-crossing
Bushehr,Iran,coastal,28.9684,50.8385,4.5,SSP1-2.6,72,0.00162,0.09336,-0.01979,0.02299,zero-crossing
Bushehr,Iran,coastal,28.9684,50.8385,4.5,SSP2-4.5,72,0.01122,0.0937,-0.0094,0.03425,zero-crossing
Bushehr,Iran,coastal,28.9684,50.8385,4.5,SSP5-8.5,72,0.00679,0.11269,-0.02024,0.03222,zero-crossing
Baku,Azerbaijan,coastal,40.4093,49.8671,8.0,Control-NoCC,72,-0.01676,0.09748,-0.03915,0.00593,zero-crossing
Baku,Azerbaijan,coastal,40.4093,49.8671,8.0,SSP1-2.6,72,0.00286,0.09857,-0.02097,0.02436,zero-crossing
Baku,Azerbaijan,coastal,40.4093,49.8671,8.0,SSP2-4.5,72,0.00939,0.10228,-0.01477,0.03234,zero-crossing
Baku,Azerbaijan,coastal,40.4093,49.8671,8.0,SSP5-8.5,72,0.00661,0.08759,-0.01367,0.02653,zero-crossing
Anchorage,USA,cold,61.2181,-149.9003,8.0,Control-NoCC,72,-0.01195,0.11631,-0.04031,0.0139,zero-crossing
Anchorage,USA,cold,61.2181,-149.9003,8.0,SSP1-2.6,72,-0.00723,0.1057,-0.03146,0.0173,zero-crossing
Anchorage,USA,cold,61.2181,-149.9003,8.0,SSP2-4.5,72,-0.00304,0.10792,-0.02718,0.02112,zero-crossing
Anchorage,USA,cold,61.2181,-149.9003,8.0,SSP5-8.5,72,0.00231,0.10925,-0.02205,0.02792,zero-crossing
Almaty,Kazakhstan,mixed,43.2389,76.8897,14.0,Control-NoCC,72,-0.00425,0.10909,-0.02892,0.02364,zero-crossing
Almaty,Kazakhstan,mixed,43.2389,76.8897,14.0,SSP1-2.6,72,0.00232,0.10191,-0.02108,0.02539,zero-crossing
Almaty,Kazakhstan,mixed,43.2389,76.8897,14.0,SSP2-4.5,72,0.00888,0.1082,-0.01626,0.03318,zero-crossing
Almaty,Kazakhstan,mixed,43.2389,76.8897,14.0,SSP5-8.5,72,0.00402,0.10468,-0.01848,0.02817,zero-crossing
Yerevan,Armenia,mixed,40.1792,44.4991,13.0,Control-NoCC,72,-0.00885,0.10428,-0.0335,0.01537,zero-crossing
Yerevan,Armenia,mixed,40.1792,44.4991,13.0,SSP1-2.6,72,0.00947,0.10091,-0.01329,0.03222,zero-crossing
Yerevan,Armenia,mixed,40.1792,44.4991,13.0,SSP2-4.5,72,0.00461,0.10547,-0.02073,0.02862,zero-crossing
Yerevan,Armenia,mixed,40.1792,44.4991,13.0,SSP5-8.5,72,0.00625,0.09683,-0.01654,0.02626,zero-crossing
Asuncion,Paraguay,lowland,-25.2637,-57.5759,4.0,Control-NoCC,72,-0.00258,0.08924,-0.02299,0.01898,zero-crossing
Asuncion,Paraguay,lowland,-25.2637,-57.5759,4.0,SSP1-2.6,72,-0.00604,0.08688,-0.02572,0.01369,zero-crossing
Asuncion,Paraguay,lowland,-25.2637,-57.5759,4.0,SSP2-4.5,72,0.01263,0.09809,-0.00929,0.03595,zero-crossing
Asuncion,Paraguay,lowland,-25.2637,-57.5759,4.0,SSP5-8.5,72,0.00596,0.09373,-0.01669,0.02677,zero-crossing
